time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,297,107,40,17
2025-11-10 00:00:00+00:00,605,197,111,28
2025-11-11 00:00:00+00:00,813,188,188,79
2025-11-12 00:00:00+00:00,401,251,94,47
2025-11-13 00:00:00+00:00,331,192,97,43
2025-11-14 00:00:00+00:00,332,185,108,43
2025-11-15 00:00:00+00:00,230,88,40,18
2025-11-16 00:00:00+00:00,136,84,22,18
2025-11-17 00:00:00+00:00,407,231,81,37
2025-11-18 00:00:00+00:00,400,227,79,37
2025-11-19 00:00:00+00:00,434,268,130,35
2025-11-20 00:00:00+00:00,353,175,89,42
2025-11-21 00:00:00+00:00,345,189,159,38
2025-11-22 00:00:00+00:00,82,36,43,22
