url_path,views_total,views_unique
/weaveworks/weave-gitops,229,170
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,27,25
/weaveworks/weave-gitops/releases,24,19
/weaveworks/weave-gitops/tree/main/charts/gitops-server,21,10
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,19,17
/weaveworks/weave-gitops/commits/main,17,5
/weaveworks/weave-gitops/issues,16,10
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,15,15
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,14,9
/weaveworks/weave-gitops/tree/main,11,10
